rank,cbsaname10,zri_full_st
1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",2.050847409
2,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",2.008264635
3,"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area",1.810652944
4,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",1.597326473
5,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",1.442095883
6,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",1.272480008
7,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",1.195888336
8,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",1.140551569
9,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",1.13771527
10,"Springfield, MA Metropolitan Statistical Area",1.009635336
