"","cbsaname10","zri_full_st","median_household_incomeE"
"1","Akron, OH Metropolitan Statistical Area",0.666601906,57285
"2","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",NA,67652
"3","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",0.232206487,68316
"4","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",1.13771527,90333
"5","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",0.698274791,95645
"6","Chicago-Joliet-Naperville, IL-IN-WI Metropolitan Statistical Area",0.490908554,71770
"7","Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",0.529034162,63987
"8","Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",0.72492062,56008
"9","Columbus, OH Metropolitan Statistical Area",-0.384746222,65150
"10","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",0.25630316,70281
"11","Dayton, OH Metropolitan Statistical Area",0.381530561,55634
"12","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area",0.116758849,79664
"13","Des Moines-West Des Moines, IA Metropolitan Statistical Area",0.011397497,70126
"14","Detroit-Warren-Livonia, MI Metropolitan Statistical Area",1.140551569,60984
"15","Grand Rapids-Wyoming, MI Metropolitan Statistical Area",0.369803613,63302
"16","Harrisburg-Carlisle, PA Metropolitan Statistical Area",NA,64916
"17","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",NA,77769
"18","Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",0.649791476,67516
"19","Anderson, IN Metropolitan Statistical Area",0.529034162,61552
"20","Kansas City, MO-KS Metropolitan Statistical Area",NA,66632
"21","Lancaster, PA Metropolitan Statistical Area",0.758296695,66056
"22","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",0.785364144,72998
"23","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",1.195888336,56775
"24","Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",1.272480008,62389
"25","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",0.765228668,80421
"26","New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical",2.008264635,78773
"27","Ogden-Clearfield, UT Metropolitan Statistical Area",0.780358165,75062
"28","Oklahoma City, OK Metropolitan Statistical Area",-1.051701174,59084
"29","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",0.559402549,72343
"30","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",0.444114809,63883
"31","Pittsburgh, PA Metropolitan Statistical Area",-0.044192462,60535
"32","Portland-South Portland-Biddeford, ME Metropolitan Statistical Area",0.97694896,70266
"33","Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",0.824045168,74792
"34","Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area",1.810652944,67818
"35","Provo-Orem, UT Metropolitan Statistical Area",0.239119911,74387
"36","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",0.322017289,65121
"37","Rochester, NY Metropolitan Statistical Area",0.116031318,60102
"38","St. Louis, MO-IL Metropolitan Statistical Area",0.804308213,63705
"39","San Antonio-New Braunfels, TX Metropolitan Statistical Area",-1.44382742,60327
"40","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",-0.152989567,78980
"41","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",0.911352004,106025
"42","Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",0.249838973,53491
"43","Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",1.597326473,86856
"44","Springfield, MA Metropolitan Statistical Area",1.009635336,59419
"45","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",1.442095883,55285
"46","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",2.050847409,103751
"47","Worcester, MA Metropolitan Statistical Area",NA,73408
